time(s)	cellId	rnti	lcid	packetSize
5.08789	2	11	3	356
5.12556	2	28	3	335
5.12634	2	1	3	429
5.15617	2	5	3	97
5.20456	2	28	3	335
5.25534	2	1	3	429
5.28355	2	28	3	335
5.32217	2	5	3	97
5.3223	2	15	3	139
5.36256	2	28	3	335
5.38434	2	1	3	429
5.44156	2	28	3	335
5.48817	2	5	3	97
5.49118	2	20	3	252
5.49673	2	22	3	309
5.51334	2	1	3	429
5.51573	2	24	3	33
5.52055	2	28	3	335
5.59955	2	28	3	335
5.64234	2	1	3	429
5.65417	2	5	3	97
5.67856	2	28	3	335
5.74151	2	14	3	333
5.75755	2	28	3	335
5.77134	2	1	3	429
5.82017	2	5	3	97
5.82033	2	8	3	81
5.82941	2	3	3	369
5.83655	2	28	3	335
5.85838	2	19	3	368
5.90034	2	1	3	429
5.9013	2	15	3	139
5.91556	2	28	3	335
5.98617	2	5	3	97
5.99456	2	28	3	335
6.01279	2	7	3	438
6.02934	2	1	3	429
6.07355	2	28	3	335
6.12724	2	4	3	186
6.13805	2	16	3	486
6.15217	2	5	3	97
6.15256	2	28	3	335
6.15273	2	22	3	309
6.15834	2	1	3	429
6.23156	2	28	3	335
6.28373	2	24	3	33
6.28734	2	1	3	429
6.31055	2	28	3	335
6.31817	2	5	3	97
6.32599	2	26	3	270
6.38866	2	18	3	447
6.38955	2	28	3	335
6.41634	2	1	3	429
6.46856	2	28	3	335
6.4803	2	15	3	139
6.48417	2	5	3	97
6.54534	2	1	3	429
6.54756	2	28	3	335
6.56002	2	30	3	58
6.58121	2	17	3	195
6.62655	2	28	3	335
6.65017	2	5	3	97
6.67434	2	1	3	429
6.70556	2	28	3	335
6.78456	2	28	3	335
6.80334	2	1	3	429
6.80873	2	22	3	309
6.81617	2	5	3	97
6.86355	2	28	3	335
6.93234	2	1	3	429
6.94255	2	28	3	335
6.98217	2	5	3	97
7.02156	2	28	3	335
7.05173	2	24	3	33
7.0593	2	15	3	139
7.06134	2	1	3	429
7.10055	2	28	3	335
7.10978	2	23	3	52
7.14817	2	5	3	97
7.17955	2	28	3	335
7.19034	2	1	3	429
7.24219	2	20	3	252
7.25856	2	28	3	335
7.30937	2	25	3	473
7.31417	2	5	3	97
7.31934	2	1	3	429
7.33756	2	28	3	335
7.41655	2	28	3	335
7.44834	2	1	3	429
7.46473	2	22	3	309
7.47979	2	7	3	438
7.48017	2	5	3	97
7.49556	2	28	3	335
7.56453	2	29	3	389
7.57456	2	28	3	335
7.57734	2	1	3	429
7.60991	2	27	3	228
7.6383	2	15	3	139
7.64617	2	5	3	97
7.65355	2	28	3	335
7.6635	2	2	3	494
7.69941	2	3	3	369
7.70634	2	1	3	429
7.73255	2	28	3	335
7.81156	2	28	3	335
7.81217	2	5	3	97
7.81973	2	24	3	33
7.83534	2	1	3	429
7.89055	2	28	3	335
7.90417	2	13	3	286
7.93966	2	18	3	447
7.96434	2	1	3	429
7.96955	2	28	3	335
7.97817	2	5	3	97
8.04856	2	28	3	335
8.09334	2	1	3	429
8.12073	2	22	3	309
8.12755	2	28	3	335
8.14417	2	5	3	97
8.16002	2	30	3	58
8.17721	2	17	3	195
8.20167	2	12	3	313
8.20655	2	28	3	335
8.2173	2	15	3	139
8.22234	2	1	3	429
8.28556	2	28	3	335
8.31017	2	5	3	97
8.35134	2	1	3	429
8.36455	2	28	3	335
8.44355	2	28	3	335
8.47617	2	5	3	97
8.48034	2	1	3	429
8.51451	2	14	3	333
8.52256	2	28	3	335
8.58773	2	24	3	33
8.60155	2	28	3	335
8.60934	2	1	3	429
8.62092	2	10	3	497
8.64217	2	5	3	97
8.66033	2	8	3	81
8.67038	2	19	3	368
8.67309	2	6	3	247
8.68056	2	28	3	335
8.73834	2	1	3	429
8.75956	2	28	3	335
8.77673	2	22	3	309
8.7963	2	15	3	139
8.80817	2	5	3	97
8.83855	2	28	3	335
8.86734	2	1	3	429
8.91756	2	28	3	335
8.94679	2	7	3	438
