time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.30403	2	18	3	447	0.0173656
3.31203	2	26	3	270	0.0190356
3.32503	2	28	3	335	0.0164736
3.33903	2	1	3	429	0.0186896
3.34603	2	5	3	97	0.0158586
3.37503	2	30	3	58	0.0150086
3.40403	2	28	3	335	0.0164736
3.40603	2	17	3	195	0.0168176
3.46703	2	1	3	429	0.0176896
3.48303	2	28	3	335	0.0164736
3.51103	2	5	3	97	0.0148586
3.54503	2	22	3	309	0.0163026
3.56203	2	28	3	335	0.0164736
3.59603	2	1	3	429	0.0176896
3.60303	2	15	3	139	0.0177256
3.64103	2	28	3	335	0.0164736
3.67703	2	5	3	97	0.0148586
3.72003	2	28	3	335	0.0164736
3.72603	2	1	3	429	0.0186896
3.75603	2	20	3	252	0.0158436
3.79903	2	28	3	335	0.0164736
3.84303	2	5	3	97	0.0148586
3.85403	2	1	3	429	0.0176896
3.87503	2	29	3	389	0.0164986
3.87803	2	28	3	335	0.0164736
3.95103	2	2	3	494	0.0185246
3.95203	2	27	3	228	0.0201156
3.95703	2	28	3	335	0.0164736
3.97703	2	3	3	369	0.0176216
3.98303	2	1	3	429	0.0176896
3.98803	2	24	3	33	0.00829956
4.00903	2	5	3	97	0.0148586
4.03603	2	28	3	335	0.0164736
4.09103	2	13	3	286	0.0158596
4.11203	2	1	3	429	0.0176896
4.11503	2	28	3	335	0.0164736
4.17503	2	5	3	97	0.0148586
4.17803	2	12	3	313	0.0173546
4.17903	2	15	3	139	0.0147256
4.19403	2	28	3	335	0.0164736
4.20303	2	22	3	309	0.0183026
4.24103	2	1	3	429	0.0176896
4.27303	2	28	3	335	0.0164736
4.34103	2	5	3	97	0.0148586
4.35203	2	28	3	335	0.0164736
4.37003	2	1	3	429	0.0176896
4.41103	2	10	3	497	0.0171106
4.43103	2	28	3	335	0.0164736
4.46903	2	6	3	247	0.0159366
4.49903	2	1	3	429	0.0176896
4.50703	2	5	3	97	0.0148586
4.51003	2	28	3	335	0.0164736
4.56303	2	7	3	438	0.0172376
4.58903	2	28	3	335	0.0164736
4.62803	2	1	3	429	0.0176896
4.66803	2	28	3	335	0.0164736
4.67503	2	5	3	97	0.0168586
4.74703	2	28	3	335	0.0164736
4.75703	2	1	3	429	0.0176896
4.75903	2	24	3	33	0.0112996
4.75903	2	15	3	139	0.0157256
4.82603	2	28	3	335	0.0164736
4.82703	2	23	3	52	0.0142486
4.83603	2	21	3	476	0.0191976
4.83903	2	5	3	97	0.0148586
4.85703	2	18	3	447	0.0193656
4.85703	2	22	3	309	0.0163026
4.88603	2	1	3	429	0.0176896
4.90503	2	28	3	335	0.0164736
4.93503	2	25	3	473	0.0176556
4.97503	2	30	3	58	0.0150086
4.98403	2	28	3	335	0.0164736
5.00103	2	17	3	195	0.0158176
5.00503	2	5	3	97	0.0148586
5.01503	2	1	3	429	0.0176896
5.06303	2	28	3	335	0.0164736
5.09203	2	9	3	476	0.0174966
5.10503	2	11	3	356	0.0171406
5.14203	2	28	3	335	0.0164736
5.14703	2	1	3	429	0.0206896
5.17103	2	5	3	97	0.0148586
5.22103	2	28	3	335	0.0164736
5.27303	2	1	3	429	0.0176896
5.30003	2	28	3	335	0.0164736
5.33703	2	5	3	97	0.0148586
5.33803	2	15	3	139	0.0157256
5.37903	2	28	3	335	0.0164736
5.40203	2	1	3	429	0.0176896
5.45803	2	28	3	335	0.0164736
5.50303	2	5	3	97	0.0148586
5.50703	2	20	3	252	0.0158436
5.51303	2	22	3	309	0.0163026
5.52403	2	24	3	33	0.00829956
5.53103	2	1	3	429	0.0176896
5.53703	2	28	3	335	0.0164736
5.61603	2	28	3	335	0.0164736
5.66003	2	1	3	429	0.0176896
5.67103	2	5	3	97	0.0168586
5.69503	2	28	3	335	0.0164736
5.75803	2	14	3	333	0.0165136
5.77403	2	28	3	335	0.0164736
5.78903	2	1	3	429	0.0176896
5.83503	2	5	3	97	0.0148586
5.83603	2	8	3	81	0.0156946
5.84703	2	3	3	369	0.0176216
5.85303	2	28	3	335	0.0164736
5.87503	2	19	3	368	0.0166466
5.91803	2	1	3	429	0.0176896
5.92003	2	15	3	139	0.0187256
5.93203	2	28	3	335	0.0164736
6.00103	2	5	3	97	0.0148586
6.01103	2	28	3	335	0.0164736
6.03003	2	7	3	438	0.0172376
6.04703	2	1	3	429	0.0176896
6.09003	2	28	3	335	0.0164736
6.14303	2	4	3	186	0.0157866
6.15603	2	16	3	486	0.0179806
6.16903	2	28	3	335	0.0164736
6.17103	2	5	3	97	0.0188586
6.17503	2	22	3	309	0.0223026
6.17903	2	1	3	429	0.0206896
6.24803	2	28	3	335	0.0164736
6.29203	2	24	3	33	0.00829956
6.30503	2	1	3	429	0.0176896
6.32703	2	28	3	335	0.0164736
6.33403	2	5	3	97	0.0158586
6.34103	2	26	3	270	0.0150356
6.40603	2	28	3	335	0.0164736
6.40903	2	18	3	447	0.0203656
6.43403	2	1	3	429	0.0176896
6.48503	2	28	3	335	0.0164736
6.49603	2	15	3	139	0.0157256
6.49903	2	5	3	97	0.0148586
6.56403	2	28	3	335	0.0164736
6.56603	2	1	3	429	0.0206896
6.57603	2	30	3	58	0.0160086
6.59703	2	17	3	195	0.0158176
6.64303	2	28	3	335	0.0164736
6.66503	2	5	3	97	0.0148586
6.69203	2	1	3	429	0.0176896
6.72203	2	28	3	335	0.0164736
6.80103	2	28	3	335	0.0164736
6.82103	2	1	3	429	0.0176896
6.82703	2	22	3	309	0.0183026
6.83203	2	5	3	97	0.0158586
6.88003	2	28	3	335	0.0164736
6.95003	2	1	3	429	0.0176896
6.95903	2	28	3	335	0.0164736
6.99703	2	5	3	97	0.0148586
7.03803	2	28	3	335	0.0164736
7.06003	2	24	3	33	0.00829956
7.07403	2	15	3	139	0.0147256
7.07903	2	1	3	429	0.0176896
7.11703	2	28	3	335	0.0164736
7.12403	2	23	3	52	0.0142486
7.16303	2	5	3	97	0.0148586
7.19603	2	28	3	335	0.0164736
7.20803	2	1	3	429	0.0176896
7.25803	2	20	3	252	0.0158436
7.27503	2	28	3	335	0.0164736
7.32703	2	25	3	473	0.0176556
7.32903	2	5	3	97	0.0148586
7.33703	2	1	3	429	0.0176896
7.35403	2	28	3	335	0.0164736
7.43303	2	28	3	335	0.0164736
7.46603	2	1	3	429	0.0176896
7.48103	2	22	3	309	0.0163026
7.49503	2	5	3	97	0.0148586
7.49803	2	7	3	438	0.0182376
7.51203	2	28	3	335	0.0164736
7.58103	2	29	3	389	0.0164986
7.59103	2	28	3	335	0.0164736
7.59603	2	1	3	429	0.0186896
7.62503	2	27	3	228	0.0151156
7.65303	2	15	3	139	0.0147256
7.66103	2	5	3	97	0.0148586
7.67003	2	28	3	335	0.0164736
7.68103	2	2	3	494	0.0175246
7.71703	2	3	3	369	0.0176216
7.72403	2	1	3	429	0.0176896
7.74903	2	28	3	335	0.0164736
7.82803	2	28	3	335	0.0164736
7.82903	2	5	3	97	0.0168586
7.83003	2	24	3	33	0.0102996
7.85303	2	1	3	429	0.0176896
7.90703	2	28	3	335	0.0164736
7.92003	2	13	3	286	0.0158596
7.95703	2	18	3	447	0.0173656
7.98203	2	1	3	429	0.0176896
7.98603	2	28	3	335	0.0164736
7.99303	2	5	3	97	0.0148586
8.06503	2	28	3	335	0.0164736
8.11103	2	1	3	429	0.0176896
8.13703	2	22	3	309	0.0163026
8.14403	2	28	3	335	0.0164736
8.15903	2	5	3	97	0.0148586
8.17503	2	30	3	58	0.0150086
8.19303	2	17	3	195	0.0158176
8.21803	2	12	3	313	0.0163546
8.22303	2	28	3	335	0.0164736
8.23203	2	15	3	139	0.0147256
8.24003	2	1	3	429	0.0176896
8.30203	2	28	3	335	0.0164736
8.32503	2	5	3	97	0.0148586
8.36903	2	1	3	429	0.0176896
8.38103	2	28	3	335	0.0164736
8.46003	2	28	3	335	0.0164736
8.49103	2	5	3	97	0.0148586
8.49803	2	1	3	429	0.0176896
8.53103	2	14	3	333	0.0165136
8.53903	2	28	3	335	0.0164736
8.59603	2	24	3	33	0.00829956
8.61803	2	28	3	335	0.0164736
8.62803	2	1	3	429	0.0186896
8.63803	2	10	3	497	0.0171106
8.65703	2	5	3	97	0.0148586
8.67503	2	8	3	81	0.0146946
8.68703	2	19	3	368	0.0166466
8.69003	2	6	3	247	0.0169366
8.69703	2	28	3	335	0.0164736
8.75603	2	1	3	429	0.0176896
8.77603	2	28	3	335	0.0164736
8.79303	2	22	3	309	0.0163026
8.81103	2	15	3	139	0.0147256
8.82303	2	5	3	97	0.0148586
8.85503	2	28	3	335	0.0164736
8.88503	2	1	3	429	0.0176896
8.93403	2	28	3	335	0.0164736
8.96403	2	7	3	438	0.0172376
8.98903	2	5	3	97	0.0148586
9.00903	2	20	3	252	0.0158436
9.01303	2	28	3	335	0.0164736
9.01803	2	1	3	429	0.0216896
9.09203	2	28	3	335	0.0164736
9.11403	2	16	3	486	0.0179806
9.12603	2	4	3	186	0.0167866
9.14303	2	1	3	429	0.0176896
9.15503	2	5	3	97	0.0148586
9.17103	2	28	3	335	0.0164736
9.25003	2	28	3	335	0.0164736
9.27203	2	1	3	429	0.0176896
9.32103	2	5	3	97	0.0148586
9.32903	2	28	3	335	0.0164736
9.36403	2	24	3	33	0.00829956
9.37403	2	26	3	270	0.0150356
9.39003	2	15	3	139	0.0147256
9.40103	2	1	3	429	0.0176896
9.40803	2	28	3	335	0.0164736
9.42103	2	23	3	52	0.0142486
9.44903	2	22	3	309	0.0163026
9.46503	2	21	3	476	0.0171976
9.48703	2	28	3	335	0.0164736
9.48803	2	5	3	97	0.0158586
9.50803	2	18	3	447	0.0173656
9.53003	2	1	3	429	0.0176896
9.56603	2	28	3	335	0.0164736
9.58603	2	3	3	369	0.0166216
9.64503	2	28	3	335	0.0164736
9.65303	2	5	3	97	0.0148586
9.65903	2	1	3	429	0.0176896
9.71903	2	25	3	473	0.0176556
9.72403	2	28	3	335	0.0164736
9.77503	2	30	3	58	0.0150086
9.78803	2	1	3	429	0.0176896
9.79003	2	17	3	195	0.0168176
9.80303	2	28	3	335	0.0164736
9.81903	2	5	3	97	0.0148586
9.88203	2	28	3	335	0.0164736
9.91703	2	1	3	429	0.0176896
9.96103	2	28	3	335	0.0164736
9.96903	2	15	3	139	0.0147256
9.98303	2	9	3	476	0.0174966
9.98503	2	5	3	97	0.0148586
10.023	2	11	3	356	0.0161406
10.04	2	28	3	335	0.0164736
10.047	2	1	3	429	0.0186896
10.105	2	22	3	309	0.0163026
10.119	2	28	3	335	0.0164736
10.132	2	24	3	33	0.00829956
10.151	2	5	3	97	0.0148586
10.175	2	1	3	429	0.0176896
10.198	2	28	3	335	0.0164736
10.277	2	28	3	335	0.0164736
10.304	2	1	3	429	0.0176896
10.317	2	5	3	97	0.0148586
10.356	2	28	3	335	0.0164736
10.435	2	28	3	335	0.0164736
10.436	2	1	3	429	0.0206896
10.441	2	7	3	438	0.0272376
10.483	2	5	3	97	0.0148586
10.514	2	28	3	335	0.0164736
10.548	2	15	3	139	0.0147256
10.562	2	1	3	429	0.0176896
10.593	2	28	3	335	0.0164736
10.649	2	5	3	97	0.0148586
10.672	2	28	3	335	0.0164736
10.691	2	1	3	429	0.0176896
10.751	2	28	3	335	0.0164736
10.761	2	22	3	309	0.0163026
10.763	2	20	3	252	0.0188436
10.815	2	5	3	97	0.0148586
10.82	2	1	3	429	0.0176896
10.83	2	28	3	335	0.0164736
10.9	2	24	3	33	0.00829956
10.909	2	28	3	335	0.0164736
10.949	2	1	3	429	0.0176896
10.981	2	5	3	97	0.0148586
10.988	2	28	3	335	0.0164736
11.059	2	18	3	447	0.0173656
11.067	2	28	3	335	0.0164736
11.078	2	1	3	429	0.0176896
11.127	2	15	3	139	0.0147256
11.146	2	28	3	335	0.0164736
11.147	2	5	3	97	0.0148586
11.207	2	1	3	429	0.0176896
11.225	2	28	3	335	0.0164736
11.287	2	29	3	389	0.0164986
11.304	2	28	3	335	0.0164736
11.307	2	14	3	333	0.0195136
11.313	2	5	3	97	0.0148586
11.314	2	27	3	228	0.0261156
11.336	2	1	3	429	0.0176896
11.375	2	30	3	58	0.0150086
11.383	2	28	3	335	0.0164736
11.385	2	17	3	195	0.0158176
11.413	2	2	3	494	0.0185246
11.417	2	22	3	309	0.0163026
11.457	2	3	3	369	0.0176216
11.462	2	28	3	335	0.0164736
11.467	2	1	3	429	0.0196896
11.479	2	5	3	97	0.0148586
11.499	2	19	3	368	0.0166466
11.515	2	8	3	81	0.0146946
11.541	2	28	3	335	0.0164736
11.594	2	1	3	429	0.0176896
11.62	2	28	3	335	0.0164736
11.645	2	5	3	97	0.0148586
11.668	2	24	3	33	0.00829956
11.699	2	28	3	335	0.0164736
11.706	2	15	3	139	0.0147256
11.718	2	23	3	52	0.0142486
11.723	2	1	3	429	0.0176896
11.749	2	13	3	286	0.0158596
11.778	2	28	3	335	0.0164736
11.811	2	5	3	97	0.0148586
11.852	2	1	3	429	0.0176896
11.857	2	28	3	335	0.0164736
11.898	2	7	3	438	0.0172376
11.936	2	28	3	335	0.0164736
11.977	2	5	3	97	0.0148586
11.981	2	1	3	429	0.0176896
12.015	2	28	3	335	0.0164736
12.073	2	22	3	309	0.0163026
12.074	2	16	3	486	0.0199806
12.094	2	28	3	335	0.0164736
12.11	2	1	3	429	0.0176896
12.117	2	25	3	473	0.0236556
12.12	2	4	3	186	0.0287866
12.143	2	5	3	97	0.0148586
12.173	2	28	3	335	0.0164736
12.239	2	1	3	429	0.0176896
12.252	2	28	3	335	0.0164736
12.261	2	12	3	313	0.0183546
12.285	2	15	3	139	0.0147256
12.309	2	5	3	97	0.0148586
12.331	2	28	3	335	0.0164736
12.368	2	1	3	429	0.0176896
12.407	2	26	3	270	0.0150356
12.41	2	28	3	335	0.0164736
12.436	2	24	3	33	0.00829956
12.475	2	5	3	97	0.0148586
12.489	2	28	3	335	0.0164736
12.499	2	1	3	429	0.0196896
12.511	2	20	3	252	0.0158436
12.568	2	28	3	335	0.0164736
12.61	2	18	3	447	0.0173656
12.626	2	1	3	429	0.0176896
12.641	2	5	3	97	0.0148586
12.647	2	28	3	335	0.0164736
12.726	2	28	3	335	0.0164736
12.729	2	22	3	309	0.0163026
12.755	2	1	3	429	0.0176896
12.805	2	28	3	335	0.0164736
12.807	2	5	3	97	0.0148586
12.864	2	15	3	139	0.0147256
12.866	2	10	3	497	0.0181106
12.884	2	28	3	335	0.0164736
12.887	2	1	3	429	0.0206896
12.909	2	6	3	247	0.0159366
12.963	2	28	3	335	0.0164736
12.974	2	5	3	97	0.0158586
12.975	2	30	3	58	0.0150086
12.981	2	17	3	195	0.0158176
13.013	2	1	3	429	0.0176896
13.042	2	28	3	335	0.0164736
13.121	2	28	3	335	0.0164736
13.142	2	1	3	429	0.0176896
13.143	2	5	3	97	0.0188586
13.2	2	28	3	335	0.0164736
13.205	2	24	3	33	0.00929956
13.271	2	1	3	429	0.0176896
13.279	2	28	3	335	0.0164736
13.305	2	5	3	97	0.0148586
13.326	2	3	3	369	0.0166216
13.358	2	28	3	335	0.0164736
13.368	2	7	3	438	0.0202376
13.385	2	22	3	309	0.0163026
13.4	2	1	3	429	0.0176896
13.437	2	28	3	335	0.0164736
13.444	2	15	3	139	0.0157256
13.471	2	5	3	97	0.0148586
13.516	2	28	3	335	0.0164736
13.53	2	1	3	429	0.0186896
13.595	2	28	3	335	0.0164736
13.637	2	5	3	97	0.0148586
13.658	2	1	3	429	0.0176896
13.674	2	28	3	335	0.0164736
13.753	2	28	3	335	0.0164736
13.787	2	1	3	429	0.0176896
13.803	2	5	3	97	0.0148586
13.832	2	28	3	335	0.0164736
13.911	2	28	3	335	0.0164736
13.917	2	1	3	429	0.0186896
13.969	2	5	3	97	0.0148586
13.972	2	24	3	33	0.00829956
13.99	2	28	3	335	0.0164736
14.015	2	23	3	52	0.0142486
14.022	2	15	3	139	0.0147256
14.041	2	22	3	309	0.0163026
14.045	2	1	3	429	0.0176896
14.069	2	28	3	335	0.0164736
14.078	2	14	3	333	0.0175136
14.096	2	21	3	476	0.0171976
14.135	2	5	3	97	0.0148586
14.148	2	28	3	335	0.0164736
14.162	2	18	3	447	0.0183656
14.174	2	1	3	429	0.0176896
14.227	2	28	3	335	0.0164736
14.262	2	20	3	252	0.0158436
14.303	2	1	3	429	0.0176896
14.306	2	28	3	335	0.0164736
14.308	2	5	3	97	0.0218586
14.317	2	19	3	368	0.0226466
14.355	2	8	3	81	0.0146946
14.385	2	28	3	335	0.0164736
14.432	2	1	3	429	0.0176896
14.464	2	28	3	335	0.0164736
14.467	2	5	3	97	0.0148586
14.503	2	25	3	473	0.0176556
14.543	2	28	3	335	0.0164736
14.561	2	1	3	429	0.0176896
14.575	2	30	3	58	0.0150086
14.577	2	17	3	195	0.0158176
14.601	2	15	3	139	0.0147256
14.622	2	28	3	335	0.0164736
14.633	2	5	3	97	0.0148586
14.69	2	1	3	429	0.0176896
14.701	2	28	3	335	0.0164736
14.702	2	22	3	309	0.0213026
14.74	2	24	3	33	0.00829956
14.78	2	28	3	335	0.0164736
14.799	2	5	3	97	0.0148586
14.819	2	1	3	429	0.0176896
14.833	2	7	3	438	0.0182376
14.859	2	28	3	335	0.0164736
14.874	2	9	3	476	0.0174966
14.938	2	28	3	335	0.0164736
14.944	2	11	3	356	0.0181406
14.948	2	1	3	429	0.0176896
14.965	2	5	3	97	0.0148586
14.981	2	27	3	228	0.0151156
14.993	2	29	3	389	0.0164986
15.017	2	28	3	335	0.0164736
15.031	2	16	3	486	0.0189806
15.077	2	1	3	429	0.0176896
15.089	2	4	3	186	0.0157866
15.096	2	28	3	335	0.0164736
15.131	2	5	3	97	0.0148586
15.143	2	2	3	494	0.0175246
15.175	2	28	3	335	0.0164736
15.182	2	15	3	139	0.0167256
15.196	2	3	3	369	0.0166216
