time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.246029	2	14	3	127	0.00295714
0.247029	2	14	3	127	0.00295714
0.249029	2	14	3	44	0.00295714
0.250029	2	16	3	16	0.00295714
0.250029	2	14	3	58	0.00295714
0.251029	2	6	3	127	0.00295714
0.252029	2	6	3	82	0.00295714
0.254029	2	17	3	16	0.00295714
0.254029	2	16	3	44	0.00295714
0.255029	2	13	3	44	0.00295714
0.256029	2	16	3	99	0.00295714
0.258029	2	16	3	127	0.00295714
0.259029	2	16	3	127	0.00295714
0.260029	2	16	3	127	0.00295714
0.261029	2	13	3	127	0.00295714
0.262029	2	13	3	121	0.00295714
0.263029	2	16	3	3	0.00295714
0.266029	2	17	3	99	0.00295714
0.268029	2	17	3	99	0.00295714
0.269029	2	17	3	127	0.00295714
0.270029	2	18	3	44	0.00295714
0.270029	2	17	3	47	0.00295714
0.271029	2	18	3	127	0.00295714
0.275029	2	18	3	44	0.00295714
0.276029	2	18	3	127	0.00295714
0.277029	2	18	3	127	0.00295714
0.278029	2	18	3	127	0.00295714
0.279029	2	18	3	127	0.00295714
0.280029	2	18	3	105	0.00295714
0.286029	2	19	3	99	0.00295714
0.287029	2	19	3	127	0.00295714
0.288029	2	19	3	127	0.00295714
0.289029	2	20	3	72	0.00295714
0.289029	2	19	3	44	0.00295714
0.290029	2	20	3	127	0.00295714
0.291029	2	20	3	127	0.00295714
0.292029	2	19	3	127	0.00295714
0.293029	2	19	3	127	0.00295714
0.294029	2	19	3	59	0.00295714
0.299029	2	20	3	16	0.00295714
0.300029	2	20	3	127	0.00295714
0.301029	2	21	3	44	0.00295714
0.301029	2	20	3	35	0.00295714
0.302029	2	22	3	44	0.00295714
0.302029	2	23	3	44	0.00295714
0.302029	2	26	3	16	0.00295714
0.303029	2	27	3	44	0.00295714
0.303029	2	29	3	16	0.00295714
0.303029	2	26	3	44	0.00295714
0.304029	2	29	3	127	0.00295714
0.306029	2	29	3	72	0.00295714
0.307029	2	21	3	127	0.00295714
0.308029	2	21	3	127	0.00295714
0.309029	2	21	3	127	0.00295714
0.310029	2	21	3	127	0.00295714
0.311029	2	21	3	127	0.00295714
0.312029	2	21	3	127	0.00295714
0.313029	2	21	3	127	0.00295714
0.314029	2	21	3	39	0.00295714
0.315029	2	28	3	44	0.00295714
0.319029	2	22	3	44	0.00295714
0.320029	2	22	3	127	0.00295714
0.321029	2	28	3	127	0.00295714
0.322029	2	28	3	127	0.00295714
0.323029	2	28	3	45	0.00295714
0.324029	2	22	3	99	0.00295714
0.325029	2	22	3	127	0.00295714
0.326029	2	22	3	127	0.00295714
0.328029	2	22	3	44	0.00295714
0.329029	2	22	3	24	0.00295714
0.332029	2	23	3	16	0.00295714
0.333029	2	26	3	44	0.00295714
0.333029	2	23	3	52	0.00295714
0.334029	2	26	3	72	0.00295714
0.335029	2	26	3	127	0.00295714
0.336029	2	26	3	127	0.00295714
0.337029	2	26	3	126	0.00295714
0.343029	2	27	3	99	0.00295714
0.344029	2	27	3	127	0.00295714
